location,bath,bhk,total_sqft_float,price_sqft
9,2.0,2,1056.0,3699.8106060606056
38,2.0,3,1440.0,4305.555555555556
27,2.0,2,1200.0,4250.0
40,2.0,2,1170.0,3247.863247863248
33,4.0,4,3300.0,18181.818181818184
29,3.0,3,1310.0,4828.244274809161
40,2.0,3,1800.0,3888.888888888889
40,5.0,4,2785.0,10592.45960502693
0,2.0,2,1000.0,3800.0
35,3.0,3,2250.0,6577.777777777778
32,3.0,3,1540.0,3896.103896103896
25,1.0,1,600.0,2500.0
37,5.0,4,2800.0,13571.42857142857
6,3.0,3,1767.0,5829.088851160159
8,1.0,2,660.0,3500.0000000000005
40,3.0,3,1610.0,5031.055900621118
8,2.0,3,1025.0,4585.365853658536
41,4.0,4,2475.0,7515.151515151515
13,2.0,3,1760.0,6988.636363636364
32,3.0,3,1693.0,3389.84051978736
23,2.0,2,700.0,5142.857142857143
10,2.0,2,1070.0,4252.336448598131
38,2.0,2,1143.0,3937.007874015748
36,3.0,3,1254.0,3030.3030303030305
41,1.0,1,660.0,7272.727272727272
23,2.0,2,1330.74,6897.66596029277
40,2.0,2,1459.0,6498.971898560657
21,1.0,2,800.0,16250.0
40,3.0,3,2010.0,4527.3631840796015
41,2.0,3,1600.0,4687.5
5,2.0,2,1200.0,3666.6666666666665
40,5.0,4,5700.0,11403.508771929824
39,2.0,2,1160.0,3793.103448275862
29,2.0,2,1220.0,4672.131147540984
23,2.0,2,1005.0,3649.751243781094
5,2.0,2,1358.0,5933.726067746687
11,2.0,2,1240.0,5645.1612903225805
14,3.0,3,2089.0,6701.771182383915
41,2.0,2,1326.0,5882.35294117647
23,3.0,3,1665.0,5285.285285285285
24,2.0,2,1060.0,5477.358490566038
33,6.0,6,710.0,22535.211267605635
8,2.0,2,1000.0,2888.0
37,2.0,2,1296.0,6172.839506172839
25,4.0,4,2894.0,8465.791292328955
42,3.0,3,2502.0,5515.587529976019
7,1.0,2,650.0,2615.3846153846152
27,2.0,3,2400.0,6250.0
30,2.0,3,1630.0,6012.269938650306
33,3.0,3,1640.0,13963.414634146342
40,2.0,2,1116.0,4651.433691756272
8,2.0,3,1530.0,3000.0
34,4.0,4,3700.0,6081.081081081082
36,3.0,3,2497.0,5606.728073688426
25,2.0,3,1540.0,4155.8441558441555
37,3.0,3,1436.0,5205.431754874651
28,2.0,2,1100.0,6818.181818181818
14,3.0,2,276.0,8333.333333333332
37,3.0,3,1427.0,8409.250175192712
2,3.0,3,2061.0,9704.027171276079
13,4.0,4,5611.5,8500.400962309543
16,2.0,2,1500.0,5200.0
35,3.0,3,1600.0,4687.5
8,1.0,2,880.0,1875.0
23,2.0,2,950.0,6000.0
1,2.0,2,1073.5,5030.740568234746
14,8.0,8,5000.0,5000.0
41,5.0,5,3050.0,6983.606557377049
24,3.0,3,1563.05,6717.6353923418965
27,3.0,3,1828.0,6017.505470459519
18,2.0,2,1125.0,4444.444444444444
9,2.0,2,1020.0,3000.0000000000005
37,3.0,3,1735.0,7780.979827089338
37,3.0,3,2050.0,7073.170731707316
17,2.0,2,1063.0,3010.348071495767
40,4.0,4,4200.0,10000.0
35,2.0,2,1242.5,3500.2012072434604
8,2.0,3,1500.0,4300.0
8,2.0,2,1060.0,5660.377358490567
8,2.0,2,1152.0,5598.958333333334
8,2.0,3,1350.0,4148.148148148148
28,1.0,1,705.0,9503.54609929078
8,1.0,2,770.0,4675.324675324676
18,2.0,2,1242.0,4106.280193236716
37,3.0,3,2144.0,6763.059701492537
8,2.0,2,1070.0,4859.813084112149
8,2.0,2,1025.0,4487.804878048781
21,2.0,2,1277.5,4446.183953033267
29,2.0,2,1200.0,4333.333333333333
23,4.0,4,2250.0,4888.88888888889
6,5.0,4,1200.0,27083.333333333332
29,2.0,2,1200.0,5000.0
41,2.0,2,1327.0,7385.079125847777
27,2.0,2,1186.0,4890.387858347386
40,2.0,2,1225.0,3885.7142857142862
40,2.0,2,1075.0,4930.232558139535
41,2.0,3,1282.0,3798.751950078003
10,3.0,3,1475.0,5307.796610169492
8,1.0,1,589.0,4584.040747028863
36,3.0,3,1787.0,5500.279798545048
36,3.0,3,1787.0,6994.963626189144
26,2.0,3,1475.0,6101.6949152542375
36,2.0,2,984.0,4500.0
0,2.0,2,1080.0,6666.666666666667
13,3.0,3,1900.0,6263.1578947368425
8,2.0,2,1100.0,3818.1818181818185
34,5.0,5,3500.0,4285.714285714285
7,1.0,1,645.0,2550.3875968992247
8,3.0,3,1200.0,7500.0
8,2.0,2,910.0,4395.604395604396
27,3.0,3,1577.0,4438.807863031072
7,1.0,2,800.0,2500.0
0,2.0,2,1270.0,7322.834645669292
36,2.0,2,1025.0,3512.19512195122
8,2.0,2,1108.0,5685.9205776173285
32,2.0,2,1295.0,3389.96138996139
36,2.0,2,1035.0,4753.623188405797
14,2.0,3,1866.0,3300.10718113612
35,2.0,2,913.0,3504.928806133625
0,2.0,3,1420.0,7042.2535211267605
10,3.0,3,1490.0,5288.5906040268455
31,2.0,3,1425.0,6596.491228070176
22,2.0,3,1280.0,4375.0
7,2.0,2,1015.0,2549.753694581281
23,2.0,2,1017.0,5039.331366764995
11,2.0,2,1027.0,4284.323271665044
9,2.0,2,1069.0,4209.541627689429
13,2.0,2,1349.0,7279.466271312083
20,2.0,2,1417.0,5292.87226534933
36,3.0,4,1863.0,5582.393988191089
27,3.0,3,1847.0,5684.89442338928
23,1.0,1,525.0,4952.380952380952
19,3.0,3,1850.0,8108.108108108108
41,2.0,2,1350.0,4114.814814814815
23,3.0,3,1550.0,4322.580645161291
40,2.0,2,1280.0,5859.375
14,2.0,2,1385.0,5999.277978339351
8,2.0,2,1128.0,5762.41134751773
29,2.0,2,1200.0,10666.666666666668
33,3.0,3,2390.0,17364.016736401674
11,3.0,3,1464.0,3825.136612021858
36,2.0,2,1000.0,6700.0
11,4.0,4,2650.0,7471.698113207548
40,2.0,2,1173.0,4944.58653026428
38,2.0,2,1020.0,4411.764705882353
0,3.0,3,1850.0,8108.108108108108
12,2.0,2,1508.0,5106.100795755969
2,2.0,2,1388.0,4106.628242074928
9,1.0,1,630.0,4500.000000000001
4,1.0,1,500.0,3700.0
7,1.0,1,530.0,2200.0
6,2.0,2,1205.0,5477.178423236514
21,2.0,2,930.0,4193.548387096775
13,5.0,4,2483.0,8538.058799838904
